Participant,small_size,small_color,small_colorAndSize,large_size,large_color,large_colorAndSize
1,1,1,1,2,1,1
2,1,1,1,1,1,1
3,1,1,1,1,1,3
4,1,1,2,1,1,1
5,1,1,1,1,1,1
6,1,1,2,1,5,1
7,1,1,1,1,1,1
8,1,2,2,1,4,1
9,1,1,2,1,1,1
10,1,1,2,1,1,2
11,1,1,2,1,1,1
12,1,2,2,2,2,3
13,1,1,1,1,1,1
