Participant,small_size,small_color,small_colorAndSize,large_size,large_color,large_colorAndSize
1,1,2,3,2,2,3
2,2,20,6,5,7,1
3,3,2,28,3,2,12
4,5,8,10,10,3,6
5,1,21,4,1,9,4
6,7,5,10,3,10,3
7,5,15,4,1,2,3
8,6,10,10,1,15,5
9,4,3,43,1,9,1
10,23,1,4,1,1,4
11,8,2,2,5,3,3
12,1,8,73,4,4,22
13,5,5,4,1,2,2
